heuristic,algorithm,n,solved,real_avg,h_avg,diff_std,diff_max,over_rate,cost_avg,subopt_avg,exp_avg,gen_avg,time_avg,h_frac
pdb,gbfs,1000,1000,45.324,38.738,2.6434053021796697,0.0,0,87.36,1.9236774686930724,202.265,647.081,0.05091550000000003,0.685152851292827
pdb,idastar(w=1.0),1000,1000,45.324,38.738,2.6434053021796697,0.0,0,45.324,1.0,18894.577,40409.175,1.8052373999999989,0.9127972863846069
pdb,wastar(w=1.0),1000,1000,45.324,38.738,2.6434053021796697,0.0,0,45.324,1.0,5766.601,17994.334,1.5326859999999989,0.6796172862543286
pdb,wastar(w=10.0),1000,1000,45.324,38.738,2.6434053021796697,0.0,0,70.008,1.5419763140638418,226.921,722.279,0.05692859999999998,0.6857835955916702
pdb,wastar(w=2.0),1000,1000,45.324,38.738,2.6434053021796697,0.0,0,54.932,1.2088175747896688,368.945,1173.838,0.0907883999999999,0.6777297540214395
pdb,wastar(w=5.0),1000,1000,45.324,38.738,2.6434053021796697,0.0,0,67.06,1.4772229391063951,258.895,822.955,0.06496000000000003,0.6833959359605902
regressor,gbfs,1000,1000,45.324,44.487,1.6015604877730956,5.0,0.203,69.82,1.5416543031052843,129.172,411.09,0.1829578999999998,0.8722110387143726
regressor,idastar(w=1.0),1000,1000,45.324,44.487,1.6015604877730956,5.0,0.203,47.238,1.0433423719479495,3372.267,7552.541,1.3708165,0.964548209041837
regressor,wastar(w=1.0),1000,1000,45.324,44.487,1.6015604877730956,5.0,0.203,47.106,1.0404362756020518,898.063,2877.226,1.233452700000001,0.8673499194577954
regressor,wastar(w=10.0),1000,1000,45.324,44.487,1.6015604877730956,5.0,0.203,60.58,1.3375934412949662,133.051,423.091,0.18821630000000014,0.8720950310892305
regressor,wastar(w=2.0),1000,1000,45.324,44.487,1.6015604877730956,5.0,0.203,54.354,1.19913734319015,144.716,459.471,0.19980360000000025,0.8695358842383208
regressor,wastar(w=5.0),1000,1000,45.324,44.487,1.6015604877730956,5.0,0.203,57.934,1.278795762472216,144.072,456.967,0.20169540000000002,0.8708750918464166
